eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location,fieldNumber,fieldNotes
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QE_20190124,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QE,2019-01-24,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QW_20190124,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QW,2019-01-24,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QN_20200204,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QN,2020-02-04,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QS_20200204,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QS,2020-02-04,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QE_20200204,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QE,2020-02-04,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QW_20200204,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QW,2020-02-04,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QN_20210211,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QN,2021-02-11,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QS_20210211,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QS,2021-02-11,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QE_20210211,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QE,2021-02-11,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QW_20210211,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QW,2021-02-11,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QN_20230112,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QN,2023-01-12,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QS_20230112,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QS,2023-01-12,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QE_20230112,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QE,2023-01-12,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QW_20230112,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QW,2023-01-12,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QN_20220128,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QN,2022-01-28,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QS_20220128,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QS,2022-01-28,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QE_20220128,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QE,2022-01-28,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A16_QW_20220128,CSIC-EEZ:SERPAM:AMOLADERAS_A16_QW,2022-01-28,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE_20100323,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE,2010-03-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS_20100323,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS,2010-03-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW_20100323,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW,2010-03-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN_20100323,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN,2010-03-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE_20110208,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE,2011-02-08,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS_20110208,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS,2011-02-08,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW_20110208,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW,2011-02-08,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN_20110208,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN,2011-02-08,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE_20120121,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE,2012-01-21,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS_20120121,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS,2012-01-21,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW_20120121,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW,2012-01-21,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN_20120121,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN,2012-01-21,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE_20130116,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE,2013-01-16,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS_20130116,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS,2013-01-16,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW_20130116,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW,2013-01-16,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN_20130116,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN,2013-01-16,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE_20140115,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE,2014-01-15,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS_20140115,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS,2014-01-15,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW_20140115,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW,2014-01-15,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN_20140115,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN,2014-01-15,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN_20150123,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN,2015-01-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS_20150123,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS,2015-01-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE_20150123,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE,2015-01-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW_20150123,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW,2015-01-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN_20151215,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN,2015-12-15,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS_20151215,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS,2015-12-15,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE_20151215,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE,2015-12-15,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW_20151215,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW,2015-12-15,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN_20170126,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN,2017-01-26,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS_20170126,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS,2017-01-26,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE_20170126,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE,2017-01-26,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW_20170126,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW,2017-01-26,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN_20180123,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN,2018-01-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS_20180123,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS,2018-01-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE_20180123,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE,2018-01-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW_20180123,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW,2018-01-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN_20190124,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN,2019-01-24,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS_20190124,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS,2019-01-24,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE_20190124,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE,2019-01-24,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW_20190124,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW,2019-01-24,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN_20200204,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN,2020-02-04,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS_20200204,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS,2020-02-04,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE_20200204,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE,2020-02-04,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW_20200204,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW,2020-02-04,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN_20210211,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN,2021-02-11,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS_20210211,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS,2021-02-11,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE_20210211,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE,2021-02-11,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW_20210211,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW,2021-02-11,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN_20230112,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN,2023-01-12,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS_20230112,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS,2023-01-12,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE_20230112,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE,2023-01-12,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW_20230112,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW,2023-01-12,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN_20220128,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN,2022-01-28,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS_20220128,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QS,2022-01-28,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE_20220128,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE,2022-01-28,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW_20220128,CSIC-EEZ:SERPAM:AMOLADERAS_A21_QW,2022-01-28,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE_20100323,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE,2010-03-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS_20100323,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS,2010-03-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW_20100323,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW,2010-03-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN_20100323,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN,2010-03-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE_20110208,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE,2011-02-08,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS_20110208,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS,2011-02-08,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW_20110208,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW,2011-02-08,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN_20110208,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN,2011-02-08,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE_20120121,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE,2012-01-21,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS_20120121,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS,2012-01-21,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW_20120121,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW,2012-01-21,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN_20120121,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN,2012-01-21,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE_20130116,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE,2013-01-16,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS_20130116,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS,2013-01-16,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW_20130116,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW,2013-01-16,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN_20130116,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN,2013-01-16,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE_20140115,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE,2014-01-15,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS_20140115,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS,2014-01-15,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW_20140115,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW,2014-01-15,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN_20140115,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN,2014-01-15,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN_20150123,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN,2015-01-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS_20150123,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS,2015-01-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE_20150123,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE,2015-01-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW_20150123,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW,2015-01-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN_20151215,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN,2015-12-15,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS_20151215,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS,2015-12-15,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE_20151215,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE,2015-12-15,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW_20151215,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW,2015-12-15,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN_20170126,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN,2017-01-26,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS_20170126,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS,2017-01-26,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE_20170126,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE,2017-01-26,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW_20170126,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW,2017-01-26,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN_20180123,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN,2018-01-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS_20180123,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS,2018-01-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE_20180123,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE,2018-01-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW_20180123,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW,2018-01-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN_20190124,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN,2019-01-24,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS_20190124,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS,2019-01-24,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE_20190124,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE,2019-01-24,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW_20190124,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW,2019-01-24,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN_20200204,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN,2020-02-04,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS_20200204,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS,2020-02-04,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE_20200204,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE,2020-02-04,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW_20200204,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW,2020-02-04,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN_20210211,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN,2021-02-11,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS_20210211,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS,2021-02-11,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE_20210211,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE,2021-02-11,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW_20210211,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW,2021-02-11,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN_20230112,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN,2023-01-12,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS_20230112,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS,2023-01-12,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE_20230112,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE,2023-01-12,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW_20230112,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW,2023-01-12,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN_20220128,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN,2022-01-28,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS_20220128,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS,2022-01-28,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE_20220128,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE,2022-01-28,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW_20220128,CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW,2022-01-28,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QE_20100323,CSIC-EEZ:SERPAM:AMOLADERAS_A20_QE,2010-03-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QS_20100323,CSIC-EEZ:SERPAM:AMOLADERAS_A20_QS,2010-03-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QW_20100323,CSIC-EEZ:SERPAM:AMOLADERAS_A20_QW,2010-03-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QN_20100323,CSIC-EEZ:SERPAM:AMOLADERAS_A20_QN,2010-03-23,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QE_20110208,CSIC-EEZ:SERPAM:AMOLADERAS_A20_QE,2011-02-08,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QS_20110208,CSIC-EEZ:SERPAM:AMOLADERAS_A20_QS,2011-02-08,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QW_20110208,CSIC-EEZ:SERPAM:AMOLADERAS_A20_QW,2011-02-08,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QN_20110208,CSIC-EEZ:SERPAM:AMOLADERAS_A20_QN,2011-02-08,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QE_20120121,CSIC-EEZ:SERPAM:AMOLADERAS_A20_QE,2012-01-21,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QS_20120121,CSIC-EEZ:SERPAM:AMOLADERAS_A20_QS,2012-01-21,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QW_20120121,CSIC-EEZ:SERPAM:AMOLADERAS_A20_QW,2012-01-21,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QN_20120121,CSIC-EEZ:SERPAM:AMOLADERAS_A20_QN,2012-01-21,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QE_20130116,CSIC-EEZ:SERPAM:AMOLADERAS_A20_QE,2013-01-16,Quadrat count,0.25,m^2,,,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QS_20130116,CSIC-EEZ:SERPAM:AMOLADERAS_A20_QS,2013-01-16,Quadrat count,0.25,m^2,,,,,,,,
